ID,Review Text,Sentiment
0,John Kramer is told he has just months left to live...,Positive
1,The Saw movies are those we go into with the lowest of expectations...,Positive
2,I had the honour of attending the world premiere of this film tonight...,Positive
3,It is impossible to explain why Saw X is such a disappointment...,Negative
4,"I have never said this about a horror movie, but i enjoyed the non horror part...",Neutral
5,Saw X definitely has the gruesome goods expected of a Saw film...,Positive
6,4 out of 5 stars.Saw X is a good horror film...,Positive
7,I'm a huge fan of this series. I love the original 7...,Positive
8,I swore I'd never see another Saw film after the abominably bad...,Neutral
9,Yes it's entertaining and there is a plot twist as usual...,Neutral
10,'Saw X' returns with fervor to the franchise's unsettling realms...,Positive
11,Saw X is a film that tells a more personal story of John Kramer...,Positive
12,Maybe it was my fault I didn't know what to expect...,Negative
13,If you haven't witnessed this ten times before...,Negative
14,My biggest problem with these prequels is that the characters...,Neutral
15,"The movie starts off interestingly, but ends being more unrealistic...",Negative
16,"When considering horror franchises, how many come to mind...",Positive
17,...or should I say jovially? Or juvenile? Because there is nothing serios...,Negative
18,The original Saw movies were never my favorite genre...,Negative
19,"It's hard to review this without spoilers, however, the problem is that there...",Neutral
20,Saw series dont hold any high standards in film making...,Negative
21,A character like Kramer would never go for an expensive procedure...,Negative
22,Was this better than the last 3 movies...,Negative
23,"The Good Story wise, the movie did a great job developing John Kramer character...",Neutral
24,'Saw X' is the 10th instalment of the long running Saw franchise...,Positive
25,In 2004 I saw my first modern survival horror film in Saw...,Neutral
26,"Finally, the softer side of Jigsaw and Amanda! ..said no one ever...",Negative
27,"Not going to lie, my expectations were low, ba...",Positive
28,"Saw X is, as the title suggests, the tenth ent...",Neutral
29,"This franchise needs new blood. Now with ""Spir...",Negative
30,Saw came out in 2004 and was a decent little t..,Positive
31,"I wasn't exactly happy getting into this, partly due to unrelated theater mishaps before the screening. Right before ""Saw X,"" I'd just come out of watching ""The Creator,"" where the theater staff had mistakenly played the wrong movie at the start; ended up watching the opening scene of ""Barbie"" before they finally corrected the mistake. People were pretty mad. And then during the previews and cinema ads for ""Saw X,"" I spotted a rat in the theater, which unnerved me to say the least. So, I wasn't in the best frame of mind to begin with. Startled me and left me feeling a bit annoyed. Throughout ""Saw X,"" especially during the slower scenes, I couldn't help but glance around and even lift my feet off the ground, wondering if the rat was still lurking nearby.Regarding the movie itself, I wasn't particularly excited about it, especially since I found the previous Saw movie ""Spiral"" so boring that I couldn't even finish it-a rare occurrence for me as I usually try to sit through any movie, whether I like it or not. But, I went to watch ""Saw X"" mainly for nostalgic reasons. I remembered how we used to spend hours discussing the various deaths in the series during my school days.As expected, ""Saw X"" delivers on the gruesome and gory front; anything less would have been a letdown. It's uncomfortable to watch, and that's all you need to know because has there ever been another reason to watch a ""Saw"" movie? Lol.John Kramer's back, albeit looking a bit older despite the movie's timeline. His morals are questionable but somewhat pure, though I wasn't as emotionally invested in his character. He designs these diabolical contraptions, so by no standard is he a good person. Instead, the movie introduces even worse characters so that we find ourselves rooting for John with a slightly clearer conscience. He's less of a hero and more of an antihero or judge.The movie does feel a bit drawn out, and I found myself impatiently waiting for it to get to the games. It felt like unnecessary filler. We know what we came to see, the director and writers know what we came to see, so let's get to business already!! Once the gruesome and bloody deaths kick in, it's all good. The in-between moments don't hold up as well, but the gruesome scenes compensate for that, a little. I did wish there were more victims than just the 4 the movie mainly focuses on; so other than Valentina it felt like the deaths were somewhat stretched out.So yeah, I don't think it's contending for best movie of the year, but definitely best deaths of the year. I didn't enjoy it as much as I remember doing when I was a kid. Definitely wished it was paced quicker. It's a mediocre movie with fantastic deaths that might be worth the watch if you're a fan of the franchise.",Neutral
32,"Granted my expectations weren't particularly high given the most recent additions to the world of Saw, but I was pleasantly surprised to find it was well above my expectations, possibly even being my favourite Saw movie yet. I had to knock off a star for some of the twists being just a little too predictable, and with a few scenes feeling a little anticlimactic, in particular the very end. Regardless of that definitely worth seeing, particularly on the big screen. Do yourself a favour though and avoid all trailers like the plague, I checked it out after watching the movie and it's one of the worst offenders of ruining the whole thing.",Positive
33,No spoilers here but before I begin I'll just say - DO NOT leave the cinema as soon as the credits start playing!...,Positive
34,"As a major Saw fan, I was excited to see the return of Tobin Bell and Shawnee Smith. While Jigsaw was a great film...",Positive
35,"Hard to believe the same director and writers that produced the trash of the previous few installments, could deliver...",Positive
36,Amanda and Jigsaw are too old! What is the point of this film? To introduce another dose of plot holes?...,Negative
37,"Well I have to say, this is a genuinely fantastic film and I'm so glad I watched in the cinema for maximum viewing pleasure...",Positive
38,The Saw saga takes us back several years with this tenth installment where we learn a little more about Jigsaw...,Positive
39,"Saw X was something that was needed for us Saw fans, we get to see a more human side of John Kramer...",Positive
40,"I like the first two Saw movies, and I'm not sure which of the others I've watched, maybe all, maybe just some...",Negative
41,"First, what makes the difference between a good Saw movie and a great one? Tobin Bell. What a great comeback...",Positive
42,Not going to make this a lengthy one. I was really looking forward to this after seeing multiple positive reviews...,Negative
43,"If you're like me, because of the sheer number of movies in this particular franchise, you go sort of in and out...",Positive
44,I´ve just arrive to watch the movie few hours ago and its a pleasure to me report that this movie perfectly has...,Positive
45,After 19 years since Tobin bell played jigsaw at age 62 years old. He really nailed it this year...,Positive
46,If it sounds too good to be true then it probably is. That's what 'Kramer' (Tobin Bell) ought to have thought...,Negative
47,I don't even know where to begin with this so called Saw movie. If you like a lot of drama with your Saw movies...,Negative
48,"I have to admit, I'm a fan of the 'Saw' movies and I was super excited about the new movie. When I first watched...",Neutral
49,"If Kramer and his team are so good at finding people, how he decided to trust his life and deposit 250k to complete...",Negative
